,DN,nome,ano,area
313,12,Jacuí,2021,14121281.0
314,12,Jari,2008,4118098.0
315,12,Jari,2021,8896654.0
316,12,Jauru,2008,375724.0
317,12,Jauru,2021,2113364.0
318,12,Jequitinhonha,2008,569846.0
319,12,Jequitinhonha,2021,823593.0
320,12,Madeira,2008,1150293971.0
321,12,Madeira,2021,1416787726.0
322,12,Manso,2008,12963.0
323,12,Manso,2021,1607831.0
324,12,Paraguaçu,2008,1059625.0
325,12,Paraguaçu,2021,1198815.0
326,12,Paranapanema,2008,3489522.0
327,12,Paranapanema,2021,6008246.0
328,12,Paranaíba,2008,33264047.0
329,12,Paranaíba,2021,49647815.0
330,12,Paraná,2008,13617100.0
331,12,Paraná,2021,12335384.0
332,12,Parnaíba,2008,42207616.0
333,12,Parnaíba,2021,51740503.0
334,12,São Francisco,2008,56462156.0
335,12,São Francisco,2021,65379622.0
336,12,Tapajós,2008,173389535.0
337,12,Tapajós,2021,148404805.0
338,12,Tietê,2008,569846.0
339,12,Tietê,2021,114279.0
340,12,Tocantins,2008,41987604.0
341,12,Tocantins,2021,301954092.0
342,12,Uatuamã,2008,41987604.0
343,12,Uatuamã,2021,142541166.0
344,12,Uruguai,2008,723857874.0
345,12,Uruguai,2021,444723597.0
346,12,Xingú,2008,158386440.0
347,12,Xingú,2021,292423454.0
348,13,Doce,2008,36307.0
349,13,Doce,2021,41345.0
350,13,Jequitinhonha,2008,37850.0
351,13,Jequitinhonha,2021,154805.0
352,13,Mucuri,2008,23825.0
353,13,Mucuri,2021,42543.0
354,13,Paranapanema,2008,12282.0
355,13,Paranapanema,2021,4909.0
356,13,Paraíba do Sul,2008,6662.0
357,13,Paraíba do Sul,2021,39976.0
358,13,São Francisco,2021,22715.0
359,13,Tietê,2008,37850.0
360,15,Antas,2008,3373659.0
361,15,Antas,2021,2569851.0
362,15,Araguari,2008,3934060.0
363,15,Araguari,2021,434454.0
364,15,Capivari,2008,851046.0
365,15,Capivari,2021,200232.0
366,15,Correntes,2008,1176847.0
367,15,Correntes,2021,793669.0
368,15,Curruá Una,2008,11493925.0
369,15,Curruá Una,2021,7740808.0
370,15,Doce,2008,296411818.0
371,15,Doce,2021,233672464.0
372,15,Grande,2008,162422134.0
373,15,Grande,2021,173765979.0
374,15,Iguaçu,2008,46533290.0
375,15,Iguaçu,2021,33855877.0
376,15,Itabapoana,2008,46460162.0
377,15,Itabapoana,2021,15668832.0
378,15,Itajaí-Açú,2008,4266922.0
379,15,Itajaí-Açú,2021,4347878.0
380,15,Itiquira,2008,325830.0
381,15,Itiquira,2021,1433667.0
382,15,Jacuí,2008,2622430.0
383,15,Jacuí,2021,1433667.0
384,15,Jari,2008,1174574.0
385,15,Jari,2021,417459.0
386,15,Jauru,2008,2979578.0
387,15,Jauru,2021,1004479.0
388,15,Jequitinhonha,2008,98676284.0
389,15,Jequitinhonha,2021,113097161.0
390,15,Madeira,2008,783602257.0
391,15,Madeira,2021,611622484.0
392,15,Manso,2008,1044261.0
393,15,Manso,2021,1516263.0
394,15,Mucuri,2008,34757833.0
395,15,Mucuri,2021,23789651.0
396,15,Paraguaçu,2008,41881150.0
397,15,Paraguaçu,2021,39488815.0
398,15,Paranapanema,2008,69266173.0
399,15,Paranapanema,2021,62779061.0
400,15,Paranaíba,2008,313433369.0
401,15,Paranaíba,2021,240339976.0
402,15,Paraná,2008,285683904.0
403,15,Paraná,2021,166092613.0
404,15,Paraíba do Sul,2008,291422021.0
405,15,Paraíba do Sul,2021,262097490.0
406,15,Parnaíba,2008,40355242.0
407,15,Parnaíba,2021,38303565.0
408,15,São Francisco,2008,411445134.0
409,15,São Francisco,2021,379650563.0
410,15,Tapajós,2008,323539897.0
411,15,Tapajós,2021,193280934.0
412,15,Tietê,2008,98676284.0
413,15,Tietê,2021,54085703.0
414,15,Tocantins,2008,5269170.0
415,15,Tocantins,2021,634304541.0
416,15,Uatuamã,2008,5269170.0
417,15,Uatuamã,2021,6064554.0
418,15,Uruguai,2008,57617918.0
419,15,Uruguai,2021,43499116.0
420,15,Xingú,2008,301962554.0
421,15,Xingú,2021,177925552.0
422,20,Grande,2008,26312775.0
423,20,Grande,2021,13675193.0
